id,t,dN,N
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-42718,1.09090909090909,1
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-42058,1.09090909090909,1
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-41398,1.09090909090909,1
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-40738,1.09090909090909,1
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-40078,1.09090909090909,1
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-39418,1.09090909090909,2
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-38758,2.18181818181818,2
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-38098,2.18181818181818,2
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-37438,1.09090909090909,3
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-36778,1.09090909090909,3
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-36118,1.09090909090909,3
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-35483,0,3
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-34858,0,3
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-34198,0,3
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-33538,0,3
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-32878,0,3
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-32218,0,3
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-31558,0,3
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-30898,0,3
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-30238,0,3
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-29578,0,3
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-28918,0,3
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-28258,0,3
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-27598,0,3
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-26938,0,3
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-26278,0,3
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-25618,0,3
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-24958,0,3
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-24298,0,3
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-23638,0,3
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-22978,0,3
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-22318,0,3
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-21661,0,3
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-21058,0,3
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-20398,0,3
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-19738,0,3
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-19078,0,3
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-18418,0,3
3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00,-17758,0,3
