id,t,dN,N
3b8bb733.2020-01-28_00-00-00.2020-02-02_00-00-00,-43051,1.17073170731707,0
3b8bb733.2020-01-28_00-00-00.2020-02-02_00-00-00,-42436,2.26164079822614,1
3b8bb733.2020-01-28_00-00-00.2020-02-02_00-00-00,-41776,2.26164079822614,1
3b8bb733.2020-01-28_00-00-00.2020-02-02_00-00-00,-41116,3.37275190933725,2
3b8bb733.2020-01-28_00-00-00.2020-02-02_00-00-00,-40515,3.38041627403327,2
3b8bb733.2020-01-28_00-00-00.2020-02-02_00-00-00,-39867,3.38041627403327,3
3b8bb733.2020-01-28_00-00-00.2020-02-02_00-00-00,-39256,2.2895071831242,4
3b8bb733.2020-01-28_00-00-00.2020-02-02_00-00-00,-38596,2.2895071831242,4
3b8bb733.2020-01-28_00-00-00.2020-02-02_00-00-00,-37936,1.17839607201309,4
3b8bb733.2020-01-28_00-00-00.2020-02-02_00-00-00,-37289,1.09090909090909,4
3b8bb733.2020-01-28_00-00-00.2020-02-02_00-00-00,-36676,4.36363636363636,4
3b8bb733.2020-01-28_00-00-00.2020-02-02_00-00-00,-36016,4.36363636363636,5
3b8bb733.2020-01-28_00-00-00.2020-02-02_00-00-00,-35356,5.45454545454545,8
3b8bb733.2020-01-28_00-00-00.2020-02-02_00-00-00,-34696,6.54545454545455,8
3b8bb733.2020-01-28_00-00-00.2020-02-02_00-00-00,-34036,5.45454545454546,9
3b8bb733.2020-01-28_00-00-00.2020-02-02_00-00-00,-33376,2.18181818181818,10
3b8bb733.2020-01-28_00-00-00.2020-02-02_00-00-00,-32716,2.18181818181818,10
3b8bb733.2020-01-28_00-00-00.2020-02-02_00-00-00,-32056,1.09090909090909,10
3b8bb733.2020-01-28_00-00-00.2020-02-02_00-00-00,-31396,0,10
3b8bb733.2020-01-28_00-00-00.2020-02-02_00-00-00,-30736,0,10
3b8bb733.2020-01-28_00-00-00.2020-02-02_00-00-00,-30076,0,10
3b8bb733.2020-01-28_00-00-00.2020-02-02_00-00-00,-29418,1.09090909090909,10
3b8bb733.2020-01-28_00-00-00.2020-02-02_00-00-00,-28816,1.09090909090909,10
3b8bb733.2020-01-28_00-00-00.2020-02-02_00-00-00,-28156,1.09090909090909,11
