device,start,end,condition,ref_datetime,id
3b8bb733,2020-01-28_00-00-00,2020-02-02_00-00-00,LL,2020-01-27T17:00:00Z,3b8bb733.2020-01-28_00-00-00.2020-02-02_00-00-00
3b8bb733,2020-02-04_00-00-00,2020-02-09_00-00-00,LL,2020-02-03T17:00:00Z,3b8bb733.2020-02-04_00-00-00.2020-02-09_00-00-00
3b8bb733,2020-02-10_00-00-00,2020-02-16_00-00-00,LD,2020-02-10T17:00:00Z,3b8bb733.2020-02-10_00-00-00.2020-02-16_00-00-00
7168f343,2020-01-28_00-00-00,2020-02-02_00-00-00,LD,2020-01-27T17:00:00Z,7168f343.2020-01-28_00-00-00.2020-02-02_00-00-00
7168f343,2020-02-04_00-00-00,2020-02-09_00-00-00,LD,2020-02-03T17:00:00Z,7168f343.2020-02-04_00-00-00.2020-02-09_00-00-00
7168f343,2020-02-10_00-00-00,2020-02-16_00-00-00,LD,2020-02-10T17:00:00Z,7168f343.2020-02-10_00-00-00.2020-02-16_00-00-00
b5b9596f,2020-01-28_00-00-00,2020-02-02_00-00-00,LD,2020-01-27T17:00:00Z,b5b9596f.2020-01-28_00-00-00.2020-02-02_00-00-00
b5b9596f,2020-02-04_00-00-00,2020-02-09_00-00-00,LL,2020-02-03T17:00:00Z,b5b9596f.2020-02-04_00-00-00.2020-02-09_00-00-00
b5b9596f,2020-02-10_00-00-00,2020-02-16_00-00-00,LL,2020-02-10T17:00:00Z,b5b9596f.2020-02-10_00-00-00.2020-02-16_00-00-00
e843292f,2020-01-28_00-00-00,2020-02-02_00-00-00,LL,2020-01-27T17:00:00Z,e843292f.2020-01-28_00-00-00.2020-02-02_00-00-00
e843292f,2020-02-10_00-00-00,2020-02-16_00-00-00,LL,2020-02-10T17:00:00Z,e843292f.2020-02-10_00-00-00.2020-02-16_00-00-00
