id,label_itc,taxon,device,start_datetime,end_datetime,vinegar_bait
15.08038ade.1597269600,15,Figitidae,08038ade,2020-08-12T22:00:00Z,2020-08-19T12:00:00Z,Y
15.08038ade.1597874400,15,Figitidae,08038ade,2020-08-19T22:00:00Z,2020-08-26T12:00:00Z,Y
15.08038ade.1598479200,15,Figitidae,08038ade,2020-08-26T22:00:00Z,2020-09-02T12:00:00Z,Y
15.08038ade.1599084000,15,Figitidae,08038ade,2020-09-02T22:00:00Z,2020-09-09T12:00:00Z,Y
15.08038ade.1599688800,15,Figitidae,08038ade,2020-09-09T22:00:00Z,2020-09-16T12:00:00Z,Y
15.08038ade.1600293600,15,Figitidae,08038ade,2020-09-16T22:00:00Z,2020-09-23T12:00:00Z,Y
15.08038ade.1600898400,15,Figitidae,08038ade,2020-09-23T22:00:00Z,2020-09-30T12:00:00Z,Y
15.0a5bb6f4.1597269600,15,Figitidae,0a5bb6f4,2020-08-12T22:00:00Z,2020-08-19T12:00:00Z,N
15.0a5bb6f4.1598479200,15,Figitidae,0a5bb6f4,2020-08-26T22:00:00Z,2020-09-02T12:00:00Z,N
15.0a5bb6f4.1599084000,15,Figitidae,0a5bb6f4,2020-09-02T22:00:00Z,2020-09-09T12:00:00Z,N
15.0a5bb6f4.1599688800,15,Figitidae,0a5bb6f4,2020-09-09T22:00:00Z,2020-09-16T12:00:00Z,N
15.0a5bb6f4.1600293600,15,Figitidae,0a5bb6f4,2020-09-16T22:00:00Z,2020-09-23T12:00:00Z,N
15.0a5bb6f4.1600898400,15,Figitidae,0a5bb6f4,2020-09-23T22:00:00Z,2020-09-30T12:00:00Z,N
15.15e612cd.1597269600,15,Figitidae,15e612cd,2020-08-12T22:00:00Z,2020-08-19T12:00:00Z,Y
15.15e612cd.1597874400,15,Figitidae,15e612cd,2020-08-19T22:00:00Z,2020-08-26T12:00:00Z,Y
15.15e612cd.1598479200,15,Figitidae,15e612cd,2020-08-26T22:00:00Z,2020-09-02T12:00:00Z,Y
15.15e612cd.1599084000,15,Figitidae,15e612cd,2020-09-02T22:00:00Z,2020-09-09T12:00:00Z,Y
15.15e612cd.1599688800,15,Figitidae,15e612cd,2020-09-09T22:00:00Z,2020-09-16T12:00:00Z,Y
