id,label_itc,taxon,device,start_datetime,end_datetime
0.08038ade.1593036000,0,background,08038ade,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
0.08038ade.1593640800,0,background,08038ade,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
0.08038ade.1594245600,0,background,08038ade,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
0.08038ade.1594850400,0,background,08038ade,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
0.0a5bb6f4.1593036000,0,background,0a5bb6f4,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
0.0a5bb6f4.1593640800,0,background,0a5bb6f4,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
0.0a5bb6f4.1594245600,0,background,0a5bb6f4,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
0.0a5bb6f4.1594850400,0,background,0a5bb6f4,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
0.15e612cd.1593036000,0,background,15e612cd,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
0.15e612cd.1593640800,0,background,15e612cd,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
0.15e612cd.1594245600,0,background,15e612cd,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
0.15e612cd.1594850400,0,background,15e612cd,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
0.1b74105a.1593036000,0,background,1b74105a,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
0.1b74105a.1593640800,0,background,1b74105a,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
0.1b74105a.1594245600,0,background,1b74105a,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
0.1b74105a.1594850400,0,background,1b74105a,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
0.398948ee.1593036000,0,background,398948ee,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
0.398948ee.1593640800,0,background,398948ee,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
0.398948ee.1594245600,0,background,398948ee,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
0.398948ee.1594850400,0,background,398948ee,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
0.5595c586.1593036000,0,background,5595c586,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
0.5595c586.1593640800,0,background,5595c586,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
