filename,in_gt,in_im,area
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,FALSE,1248.5
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,FALSE,6694
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,FALSE,9764
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,FALSE,3525.5
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,FALSE,913
f8d61a5c.2020-08-29_04-41-56.svg,FALSE,TRUE,1198.5
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,TRUE,4714.5
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,TRUE,17602
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,TRUE,4740
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,TRUE,3080.5
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,TRUE,8886
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,TRUE,2238
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,TRUE,2932
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,FALSE,14447.5
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,TRUE,13245.5
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,TRUE,11948.5
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,TRUE,3213
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,TRUE,2744
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,TRUE,5371
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,TRUE,1226
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,TRUE,1213.5
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,TRUE,2065
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,TRUE,25586.5
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,TRUE,3437
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,TRUE,2621.5
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,TRUE,15400.5
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,TRUE,8197
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,TRUE,4983
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,TRUE,2198
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,TRUE,23863.5
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,TRUE,2460.5
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,TRUE,18677.5
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,TRUE,2775
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,TRUE,4097
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,TRUE,1316
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,TRUE,1676.5
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,TRUE,934
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,TRUE,21022
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,TRUE,1430.5
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,TRUE,2328
f8d61a5c.2020-08-29_04-41-56.svg,TRUE,TRUE,2212
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,FALSE,2825
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,FALSE,1201.5
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,FALSE,2090
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,FALSE,1272
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,FALSE,912
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,TRUE,1263.5
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,FALSE,12522.5
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,TRUE,15732.5
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,TRUE,28930
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,TRUE,3913.5
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,TRUE,6079.5
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,TRUE,9092.5
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,TRUE,19651.5
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,TRUE,3050
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,TRUE,17555
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,TRUE,22748.5
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,TRUE,23892
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,TRUE,21468
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,TRUE,17826.5
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,TRUE,19256
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,TRUE,1300
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,TRUE,4039
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,TRUE,11841.5
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,TRUE,2952.5
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,TRUE,6307.5
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,TRUE,17342
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,TRUE,1808.5
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,TRUE,2169.5
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,TRUE,1491
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,TRUE,1504
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,TRUE,2620
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,TRUE,1913
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,TRUE,1947.5
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,TRUE,1455.5
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,TRUE,2456
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,TRUE,1644.5
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,TRUE,2154.5
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,TRUE,1709.5
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,TRUE,992
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,TRUE,1865
f8d61a5c.2020-08-24_04-27-40.svg,TRUE,TRUE,1379.5
f8d61a5c.2020-08-19_03-38-19.svg,TRUE,FALSE,1526
f8d61a5c.2020-08-19_03-38-19.svg,TRUE,FALSE,1807
f8d61a5c.2020-08-19_03-38-19.svg,TRUE,FALSE,1985.5
f8d61a5c.2020-08-19_03-38-19.svg,TRUE,FALSE,2732
f8d61a5c.2020-08-19_03-38-19.svg,FALSE,TRUE,3997.5
f8d61a5c.2020-08-19_03-38-19.svg,FALSE,TRUE,1084.5
f8d61a5c.2020-08-19_03-38-19.svg,FALSE,TRUE,1759.5
f8d61a5c.2020-08-19_03-38-19.svg,TRUE,TRUE,3832
f8d61a5c.2020-08-19_03-38-19.svg,TRUE,TRUE,5085.5
f8d61a5c.2020-08-19_03-38-19.svg,TRUE,TRUE,6118
