image,device,datetime,condition,ref_datetime,series_id,N
<sticky_pi.image.Image object at 0x2aea04f36e90>,e843292f,2020-01-28 00:02:29+00:00,LL,2020-01-27_17-00-00,e843292f.2020-01-28_00-00-00.2020-02-02_00-00-00,0
<sticky_pi.image.Image object at 0x2ae9fc5b3d10>,e843292f,2020-01-28 00:13:29+00:00,LL,2020-01-27_17-00-00,e843292f.2020-01-28_00-00-00.2020-02-02_00-00-00,0
<sticky_pi.image.Image object at 0x2aea04f48090>,e843292f,2020-01-28 00:24:29+00:00,LL,2020-01-27_17-00-00,e843292f.2020-01-28_00-00-00.2020-02-02_00-00-00,0
<sticky_pi.image.Image object at 0x2aea04f48890>,e843292f,2020-01-28 00:35:29+00:00,LL,2020-01-27_17-00-00,e843292f.2020-01-28_00-00-00.2020-02-02_00-00-00,0
<sticky_pi.image.Image object at 0x2aea0507ddd0>,e843292f,2020-01-28 00:46:29+00:00,LL,2020-01-27_17-00-00,e843292f.2020-01-28_00-00-00.2020-02-02_00-00-00,0
<sticky_pi.image.Image object at 0x2aea04f36b90>,e843292f,2020-01-28 00:57:29+00:00,LL,2020-01-27_17-00-00,e843292f.2020-01-28_00-00-00.2020-02-02_00-00-00,0
<sticky_pi.image.Image object at 0x2ae9fb855c50>,e843292f,2020-01-28 01:08:29+00:00,LL,2020-01-27_17-00-00,e843292f.2020-01-28_00-00-00.2020-02-02_00-00-00,0
<sticky_pi.image.Image object at 0x2ae9fc5b3dd0>,e843292f,2020-01-28 01:18:47+00:00,LL,2020-01-27_17-00-00,e843292f.2020-01-28_00-00-00.2020-02-02_00-00-00,0
<sticky_pi.image.Image object at 0x2ae9fc5b3d50>,e843292f,2020-01-28 01:28:59+00:00,LL,2020-01-27_17-00-00,e843292f.2020-01-28_00-00-00.2020-02-02_00-00-00,0
<sticky_pi.image.Image object at 0x2aea0507ded0>,e843292f,2020-01-28 01:39:29+00:00,LL,2020-01-27_17-00-00,e843292f.2020-01-28_00-00-00.2020-02-02_00-00-00,0
<sticky_pi.image.Image object at 0x2aea04f54850>,e843292f,2020-01-28 01:50:29+00:00,LL,2020-01-27_17-00-00,e843292f.2020-01-28_00-00-00.2020-02-02_00-00-00,0
