device,start,end,condition,ref_datetime
e843292f,2020-01-28_00-00-00,2020-02-02_00-00-00,LL,2020-01-27_17-00-00
7168f343,2020-01-28_00-00-00,2020-02-02_00-00-00,LD,2020-01-27_17-00-00
3b8bb733,2020-01-28_00-00-00,2020-02-02_00-00-00,LL,2020-01-27_17-00-00
b5b9596f,2020-01-28_00-00-00,2020-02-02_00-00-00,LD,2020-01-27_17-00-00
7168f343,2020-02-04_00-00-00,2020-02-09_00-00-00,LD,2020-02-03_17-00-00
3b8bb733,2020-02-04_00-00-00,2020-02-09_00-00-00,LL,2020-02-03_17-00-00
b5b9596f,2020-02-04_00-00-00,2020-02-09_00-00-00,LL,2020-02-03_17-00-00
e843292f,2020-02-10_00-00-00,2020-02-16_00-00-00,LL,2020-02-10_17-00-00
7168f343,2020-02-10_00-00-00,2020-02-16_00-00-00,LD,2020-02-10_17-00-00
3b8bb733,2020-02-10_00-00-00,2020-02-16_00-00-00,LD,2020-02-10_17-00-00
b5b9596f,2020-02-10_00-00-00,2020-02-16_00-00-00,LL,2020-02-10_17-00-00
